,mixed_file,orig_file,noise_file,snr,mixed_spec,orig_spec,noise_spec
1.wav,./audio/mixed/1.wav,./audio/target/e1-finger-tune_1_split_75.wav,./audio/noise/restaurant_guitar_split_17.wav,2,./audio/mixed_specs/1.wav.npy,./audio/target_specs/e1-finger-tune_1_split_75.wav.npy,./audio/noise_specs/restaurant_guitar_split_17.wav.npy
2.wav,./audio/mixed/2.wav,./audio/target/e3-strum-144_split_19.wav,./audio/noise/electric_solo_split_52.wav,2,./audio/mixed_specs/2.wav.npy,./audio/target_specs/e3-strum-144_split_19.wav.npy,./audio/noise_specs/electric_solo_split_52.wav.npy
3.wav,./audio/mixed/3.wav,./audio/target/g3-strum2-tune_split_69.wav,./audio/noise/choir_christie_split_37.wav,1,./audio/mixed_specs/3.wav.npy,./audio/target_specs/g3-strum2-tune_split_69.wav.npy,./audio/noise_specs/choir_christie_split_37.wav.npy
4.wav,./audio/mixed/4.wav,./audio/target/e1-finger-tune_1_split_61.wav,./audio/noise/2-182508-A-8_split_2.wav,1,./audio/mixed_specs/4.wav.npy,./audio/target_specs/e1-finger-tune_1_split_61.wav.npy,./audio/noise_specs/2-182508-A-8_split_2.wav.npy
5.wav,./audio/mixed/5.wav,./audio/target/e3-strum-120_split_6.wav,./audio/noise/practiceroom_split_52.wav,1,./audio/mixed_specs/5.wav.npy,./audio/target_specs/e3-strum-120_split_6.wav.npy,./audio/noise_specs/practiceroom_split_52.wav.npy
6.wav,./audio/mixed/6.wav,./audio/target/d3-finger-tune_split_17.wav,./audio/noise/c_intro_eg_split_8.wav,0,./audio/mixed_specs/6.wav.npy,./audio/target_specs/d3-finger-tune_split_17.wav.npy,./audio/noise_specs/c_intro_eg_split_8.wav.npy
7.wav,./audio/mixed/7.wav,./audio/target/a1-strum-120_1_split_10.wav,./audio/noise/5-214759-A-5_split_2.wav,1,./audio/mixed_specs/7.wav.npy,./audio/target_specs/a1-strum-120_1_split_10.wav.npy,./audio/noise_specs/5-214759-A-5_split_2.wav.npy
8.wav,./audio/mixed/8.wav,./audio/target/b2-strum-100_1_split_25.wav,./audio/noise/2-70052-B-42_split_2.wav,4,./audio/mixed_specs/8.wav.npy,./audio/target_specs/b2-strum-100_1_split_25.wav.npy,./audio/noise_specs/2-70052-B-42_split_2.wav.npy
9.wav,./audio/mixed/9.wav,./audio/target/a2-strum-tune_split_23.wav,./audio/noise/loreta_organ_split_3.wav,1,./audio/mixed_specs/9.wav.npy,./audio/target_specs/a2-strum-tune_split_23.wav.npy,./audio/noise_specs/loreta_organ_split_3.wav.npy
10.wav,./audio/mixed/10.wav,./audio/target/e1-finger-tune_1_split_49.wav,./audio/noise/church_organ_split_134.wav,3,./audio/mixed_specs/10.wav.npy,./audio/target_specs/e1-finger-tune_1_split_49.wav.npy,./audio/noise_specs/church_organ_split_134.wav.npy
11.wav,./audio/mixed/11.wav,./audio/target/g3-strum2-tune_split_55.wav,./audio/noise/1-20736-A-18_split_2.wav,4,./audio/mixed_specs/11.wav.npy,./audio/target_specs/g3-strum2-tune_split_55.wav.npy,./audio/noise_specs/1-20736-A-18_split_2.wav.npy
12.wav,./audio/mixed/12.wav,./audio/target/g3-strum2-tune_split_41.wav,./audio/noise/piano_loop_1_split_7.wav,2,./audio/mixed_specs/12.wav.npy,./audio/target_specs/g3-strum2-tune_split_41.wav.npy,./audio/noise_specs/piano_loop_1_split_7.wav.npy
13.wav,./audio/mixed/13.wav,./audio/target/b2-strum-100_1_split_19.wav,./audio/noise/2-102414-F-17_split_2.wav,1,./audio/mixed_specs/13.wav.npy,./audio/target_specs/b2-strum-100_1_split_19.wav.npy,./audio/noise_specs/2-102414-F-17_split_2.wav.npy
14.wav,./audio/mixed/14.wav,./audio/target/e4-strum-tune_split_11.wav,./audio/noise/1-54065-A-45_split_1.wav,4,./audio/mixed_specs/14.wav.npy,./audio/target_specs/e4-strum-tune_split_11.wav.npy,./audio/noise_specs/1-54065-A-45_split_1.wav.npy
15.wav,./audio/mixed/15.wav,./audio/target/e4-pick-tune_split_21.wav,./audio/noise/bb_bass_split_11.wav,1,./audio/mixed_specs/15.wav.npy,./audio/target_specs/e4-pick-tune_split_21.wav.npy,./audio/noise_specs/bb_bass_split_11.wav.npy
16.wav,./audio/mixed/16.wav,./audio/target/d3-finger-tune_split_1.wav,./audio/noise/5-251957-A-47_split_2.wav,3,./audio/mixed_specs/16.wav.npy,./audio/target_specs/d3-finger-tune_split_1.wav.npy,./audio/noise_specs/5-251957-A-47_split_2.wav.npy
17.wav,./audio/mixed/17.wav,./audio/target/d2-strum-100_split_7.wav,./audio/noise/granular2_split_20.wav,1,./audio/mixed_specs/17.wav.npy,./audio/target_specs/d2-strum-100_split_7.wav.npy,./audio/noise_specs/granular2_split_20.wav.npy
18.wav,./audio/mixed/18.wav,./audio/target/d2-strum-120_1_split_18.wav,./audio/noise/big_hair_drums_split_21.wav,0,./audio/mixed_specs/18.wav.npy,./audio/target_specs/d2-strum-120_1_split_18.wav.npy,./audio/noise_specs/big_hair_drums_split_21.wav.npy
19.wav,./audio/mixed/19.wav,./audio/target/d3-finger2-tune_split_26.wav,./audio/noise/acoustic_performance_split_3.wav,2,./audio/mixed_specs/19.wav.npy,./audio/target_specs/d3-finger2-tune_split_26.wav.npy,./audio/noise_specs/acoustic_performance_split_3.wav.npy
20.wav,./audio/mixed/20.wav,./audio/target/d2-finger-144_split_15.wav,./audio/noise/rocknroll_split_68.wav,0,./audio/mixed_specs/20.wav.npy,./audio/target_specs/d2-finger-144_split_15.wav.npy,./audio/noise_specs/rocknroll_split_68.wav.npy
21.wav,./audio/mixed/21.wav,./audio/target/g3-strum2-tune_split_82.wav,./audio/noise/5-219242-A-37_split_2.wav,2,./audio/mixed_specs/21.wav.npy,./audio/target_specs/g3-strum2-tune_split_82.wav.npy,./audio/noise_specs/5-219242-A-37_split_2.wav.npy
22.wav,./audio/mixed/22.wav,./audio/target/b2-finger-100_split_16.wav,./audio/noise/2-109374-A-16_split_1.wav,2,./audio/mixed_specs/22.wav.npy,./audio/target_specs/b2-finger-100_split_16.wav.npy,./audio/noise_specs/2-109374-A-16_split_1.wav.npy
23.wav,./audio/mixed/23.wav,./audio/target/b2-finger-144_1_split_19.wav,./audio/noise/church_organ_split_83.wav,2,./audio/mixed_specs/23.wav.npy,./audio/target_specs/b2-finger-144_1_split_19.wav.npy,./audio/noise_specs/church_organ_split_83.wav.npy
24.wav,./audio/mixed/24.wav,./audio/target/d2-finger-144_split_8.wav,./audio/noise/1-223162-A-25_split_1.wav,4,./audio/mixed_specs/24.wav.npy,./audio/target_specs/d2-finger-144_split_8.wav.npy,./audio/noise_specs/1-223162-A-25_split_1.wav.npy
25.wav,./audio/mixed/25.wav,./audio/target/d2-strum-120_1_split_24.wav,./audio/noise/bb_bass_split_11.wav,3,./audio/mixed_specs/25.wav.npy,./audio/target_specs/d2-strum-120_1_split_24.wav.npy,./audio/noise_specs/bb_bass_split_11.wav.npy
26.wav,./audio/mixed/26.wav,./audio/target/a2-finger-tune_split_14.wav,./audio/noise/5-234879-B-1_split_1.wav,0,./audio/mixed_specs/26.wav.npy,./audio/target_specs/a2-finger-tune_split_14.wav.npy,./audio/noise_specs/5-234879-B-1_split_1.wav.npy
27.wav,./audio/mixed/27.wav,./audio/target/e1-pick-120_split_4.wav,./audio/noise/bar_music_split_36.wav,4,./audio/mixed_specs/27.wav.npy,./audio/target_specs/e1-pick-120_split_4.wav.npy,./audio/noise_specs/bar_music_split_36.wav.npy
28.wav,./audio/mixed/28.wav,./audio/target/a2-finger2-tune_split_27.wav,./audio/noise/1-17367-A-10_split_1.wav,3,./audio/mixed_specs/28.wav.npy,./audio/target_specs/a2-finger2-tune_split_27.wav.npy,./audio/noise_specs/1-17367-A-10_split_1.wav.npy
29.wav,./audio/mixed/29.wav,./audio/target/b2-strum-144_1_split_11.wav,./audio/noise/5-254832-A-15_split_2.wav,1,./audio/mixed_specs/29.wav.npy,./audio/target_specs/b2-strum-144_1_split_11.wav.npy,./audio/noise_specs/5-254832-A-15_split_2.wav.npy
30.wav,./audio/mixed/30.wav,./audio/target/a2-finger-tune_split_28.wav,./audio/noise/1-43382-A-1_split_1.wav,2,./audio/mixed_specs/30.wav.npy,./audio/target_specs/a2-finger-tune_split_28.wav.npy,./audio/noise_specs/1-43382-A-1_split_1.wav.npy
31.wav,./audio/mixed/31.wav,./audio/target/b3-finger2-tune_split_5.wav,./audio/noise/5-213836-C-9_split_1.wav,1,./audio/mixed_specs/31.wav.npy,./audio/target_specs/b3-finger2-tune_split_5.wav.npy,./audio/noise_specs/5-213836-C-9_split_1.wav.npy
32.wav,./audio/mixed/32.wav,./audio/target/e2-strum2-tune_split_5.wav,./audio/noise/2-98676-A-24_split_1.wav,0,./audio/mixed_specs/32.wav.npy,./audio/target_specs/e2-strum2-tune_split_5.wav.npy,./audio/noise_specs/2-98676-A-24_split_1.wav.npy
33.wav,./audio/mixed/33.wav,./audio/target/b3-strum-tune_split_22.wav,./audio/noise/music_class_split_15.wav,4,./audio/mixed_specs/33.wav.npy,./audio/target_specs/b3-strum-tune_split_22.wav.npy,./audio/noise_specs/music_class_split_15.wav.npy
34.wav,./audio/mixed/34.wav,./audio/target/e1-finger-144_split_17.wav,./audio/noise/1-76831-A-42_split_2.wav,1,./audio/mixed_specs/34.wav.npy,./audio/target_specs/e1-finger-144_split_17.wav.npy,./audio/noise_specs/1-76831-A-42_split_2.wav.npy
35.wav,./audio/mixed/35.wav,./audio/target/d2-strum-144_split_10.wav,./audio/noise/c_vox_split_3.wav,3,./audio/mixed_specs/35.wav.npy,./audio/target_specs/d2-strum-144_split_10.wav.npy,./audio/noise_specs/c_vox_split_3.wav.npy
36.wav,./audio/mixed/36.wav,./audio/target/b3-strum2-tune_split_26.wav,./audio/noise/blues_ensemble_split_6.wav,1,./audio/mixed_specs/36.wav.npy,./audio/target_specs/b3-strum2-tune_split_26.wav.npy,./audio/noise_specs/blues_ensemble_split_6.wav.npy
37.wav,./audio/mixed/37.wav,./audio/target/e1-pick-tune_split_1.wav,./audio/noise/1-69165-A-34_split_2.wav,3,./audio/mixed_specs/37.wav.npy,./audio/target_specs/e1-pick-tune_split_1.wav.npy,./audio/noise_specs/1-69165-A-34_split_2.wav.npy
38.wav,./audio/mixed/38.wav,./audio/target/g3-pick-tune_split_16.wav,./audio/noise/5-103416-A-2_split_2.wav,1,./audio/mixed_specs/38.wav.npy,./audio/target_specs/g3-pick-tune_split_16.wav.npy,./audio/noise_specs/5-103416-A-2_split_2.wav.npy
39.wav,./audio/mixed/39.wav,./audio/target/a1-finger-100_1_split_12.wav,./audio/noise/orchestra_tuning_split_95.wav,1,./audio/mixed_specs/39.wav.npy,./audio/target_specs/a1-finger-100_1_split_12.wav.npy,./audio/noise_specs/orchestra_tuning_split_95.wav.npy
40.wav,./audio/mixed/40.wav,./audio/target/e1-finger-120_split_15.wav,./audio/noise/warming_up_split_48.wav,3,./audio/mixed_specs/40.wav.npy,./audio/target_specs/e1-finger-120_split_15.wav.npy,./audio/noise_specs/warming_up_split_48.wav.npy
41.wav,./audio/mixed/41.wav,./audio/target/d2-finger-100_split_20.wav,./audio/noise/bar_music_split_64.wav,3,./audio/mixed_specs/41.wav.npy,./audio/target_specs/d2-finger-100_split_20.wav.npy,./audio/noise_specs/bar_music_split_64.wav.npy
42.wav,./audio/mixed/42.wav,./audio/target/a1-strum-144_1_split_10.wav,./audio/noise/2-131943-A-38_split_1.wav,1,./audio/mixed_specs/42.wav.npy,./audio/target_specs/a1-strum-144_1_split_10.wav.npy,./audio/noise_specs/2-131943-A-38_split_1.wav.npy
43.wav,./audio/mixed/43.wav,./audio/target/e3-finger-100_split_16.wav,./audio/noise/2-60180-A-49_split_2.wav,3,./audio/mixed_specs/43.wav.npy,./audio/target_specs/e3-finger-100_split_16.wav.npy,./audio/noise_specs/2-60180-A-49_split_2.wav.npy
44.wav,./audio/mixed/44.wav,./audio/target/e4-pick2-tune_split_6.wav,./audio/noise/1-47714-A-16_split_2.wav,4,./audio/mixed_specs/44.wav.npy,./audio/target_specs/e4-pick2-tune_split_6.wav.npy,./audio/noise_specs/1-47714-A-16_split_2.wav.npy
45.wav,./audio/mixed/45.wav,./audio/target/d3-strum2-tune_split_13.wav,./audio/noise/church_organ_split_76.wav,3,./audio/mixed_specs/45.wav.npy,./audio/target_specs/d3-strum2-tune_split_13.wav.npy,./audio/noise_specs/church_organ_split_76.wav.npy
46.wav,./audio/mixed/46.wav,./audio/target/e4-pick-tune_split_8.wav,./audio/noise/1-67432-A-27_split_2.wav,1,./audio/mixed_specs/46.wav.npy,./audio/target_specs/e4-pick-tune_split_8.wav.npy,./audio/noise_specs/1-67432-A-27_split_2.wav.npy
47.wav,./audio/mixed/47.wav,./audio/target/d2-strum-120_split_12.wav,./audio/noise/2-99955-C-7_split_1.wav,2,./audio/mixed_specs/47.wav.npy,./audio/target_specs/d2-strum-120_split_12.wav.npy,./audio/noise_specs/2-99955-C-7_split_1.wav.npy
48.wav,./audio/mixed/48.wav,./audio/target/b3-pick-tune_split_5.wav,./audio/noise/2-121978-A-29_split_1.wav,4,./audio/mixed_specs/48.wav.npy,./audio/target_specs/b3-pick-tune_split_5.wav.npy,./audio/noise_specs/2-121978-A-29_split_1.wav.npy
49.wav,./audio/mixed/49.wav,./audio/target/a2-strum2-tune_split_4.wav,./audio/noise/1-54065-A-45_split_1.wav,1,./audio/mixed_specs/49.wav.npy,./audio/target_specs/a2-strum2-tune_split_4.wav.npy,./audio/noise_specs/1-54065-A-45_split_1.wav.npy
50.wav,./audio/mixed/50.wav,./audio/target/e1-strum-tune_split_1.wav,./audio/noise/warming_up_split_17.wav,0,./audio/mixed_specs/50.wav.npy,./audio/target_specs/e1-strum-tune_split_1.wav.npy,./audio/noise_specs/warming_up_split_17.wav.npy
51.wav,./audio/mixed/51.wav,./audio/target/b2-finger-120_1_split_25.wav,./audio/noise/granular2_split_26.wav,0,./audio/mixed_specs/51.wav.npy,./audio/target_specs/b2-finger-120_1_split_25.wav.npy,./audio/noise_specs/granular2_split_26.wav.npy
52.wav,./audio/mixed/52.wav,./audio/target/e3-strum-100_split_10.wav,./audio/noise/piano_loop_split_19.wav,3,./audio/mixed_specs/52.wav.npy,./audio/target_specs/e3-strum-100_split_10.wav.npy,./audio/noise_specs/piano_loop_split_19.wav.npy
53.wav,./audio/mixed/53.wav,./audio/target/e1-finger-tune_split_11.wav,./audio/noise/orchestra_tuning_split_80.wav,1,./audio/mixed_specs/53.wav.npy,./audio/target_specs/e1-finger-tune_split_11.wav.npy,./audio/noise_specs/orchestra_tuning_split_80.wav.npy
54.wav,./audio/mixed/54.wav,./audio/target/b2-pick-144_1_split_9.wav,./audio/noise/5-261433-A-15_split_2.wav,1,./audio/mixed_specs/54.wav.npy,./audio/target_specs/b2-pick-144_1_split_9.wav.npy,./audio/noise_specs/5-261433-A-15_split_2.wav.npy
55.wav,./audio/mixed/55.wav,./audio/target/b2-finger-120_1_split_19.wav,./audio/noise/practiceroom_split_49.wav,4,./audio/mixed_specs/55.wav.npy,./audio/target_specs/b2-finger-120_1_split_19.wav.npy,./audio/noise_specs/practiceroom_split_49.wav.npy
56.wav,./audio/mixed/56.wav,./audio/target/g3-pick2-tune_split_11.wav,./audio/noise/music_class_split_42.wav,4,./audio/mixed_specs/56.wav.npy,./audio/target_specs/g3-pick2-tune_split_11.wav.npy,./audio/noise_specs/music_class_split_42.wav.npy
57.wav,./audio/mixed/57.wav,./audio/target/e3-finger-144_1_split_10.wav,./audio/noise/bass_solo_split_1.wav,4,./audio/mixed_specs/57.wav.npy,./audio/target_specs/e3-finger-144_1_split_10.wav.npy,./audio/noise_specs/bass_solo_split_1.wav.npy
58.wav,./audio/mixed/58.wav,./audio/target/g2-pick-100_split_1.wav,./audio/noise/1-52290-A-30_split_1.wav,4,./audio/mixed_specs/58.wav.npy,./audio/target_specs/g2-pick-100_split_1.wav.npy,./audio/noise_specs/1-52290-A-30_split_1.wav.npy
59.wav,./audio/mixed/59.wav,./audio/target/d2-strum-100_split_25.wav,./audio/noise/pianobig_hair_guitar_split_2.wav,4,./audio/mixed_specs/59.wav.npy,./audio/target_specs/d2-strum-100_split_25.wav.npy,./audio/noise_specs/pianobig_hair_guitar_split_2.wav.npy
60.wav,./audio/mixed/60.wav,./audio/target/a1-strum-100_1_split_8.wav,./audio/noise/2-87799-A-24_split_2.wav,0,./audio/mixed_specs/60.wav.npy,./audio/target_specs/a1-strum-100_1_split_8.wav.npy,./audio/noise_specs/2-87799-A-24_split_2.wav.npy
61.wav,./audio/mixed/61.wav,./audio/target/d3-strum-tune_split_28.wav,./audio/noise/lincoln_split_108.wav,4,./audio/mixed_specs/61.wav.npy,./audio/target_specs/d3-strum-tune_split_28.wav.npy,./audio/noise_specs/lincoln_split_108.wav.npy
62.wav,./audio/mixed/62.wav,./audio/target/d2-strum-120_split_8.wav,./audio/noise/bygone_beat_split_7.wav,4,./audio/mixed_specs/62.wav.npy,./audio/target_specs/d2-strum-120_split_8.wav.npy,./audio/noise_specs/bygone_beat_split_7.wav.npy
63.wav,./audio/mixed/63.wav,./audio/target/b3-strum-tune_split_2.wav,./audio/noise/ode_to_joy_split_13.wav,0,./audio/mixed_specs/63.wav.npy,./audio/target_specs/b3-strum-tune_split_2.wav.npy,./audio/noise_specs/ode_to_joy_split_13.wav.npy
64.wav,./audio/mixed/64.wav,./audio/target/a1-strum-100_1_split_18.wav,./audio/noise/1-7974-A-49_split_2.wav,1,./audio/mixed_specs/64.wav.npy,./audio/target_specs/a1-strum-100_1_split_18.wav.npy,./audio/noise_specs/1-7974-A-49_split_2.wav.npy
65.wav,./audio/mixed/65.wav,./audio/target/e3-pick-144_split_5.wav,./audio/noise/church_organ_split_89.wav,0,./audio/mixed_specs/65.wav.npy,./audio/target_specs/e3-pick-144_split_5.wav.npy,./audio/noise_specs/church_organ_split_89.wav.npy
66.wav,./audio/mixed/66.wav,./audio/target/b3-strum2-tune_split_5.wav,./audio/noise/2-81112-A-34_split_2.wav,2,./audio/mixed_specs/66.wav.npy,./audio/target_specs/b3-strum2-tune_split_5.wav.npy,./audio/noise_specs/2-81112-A-34_split_2.wav.npy
67.wav,./audio/mixed/67.wav,./audio/target/d2-strum-100_split_19.wav,./audio/noise/music_class_split_68.wav,0,./audio/mixed_specs/67.wav.npy,./audio/target_specs/d2-strum-100_split_19.wav.npy,./audio/noise_specs/music_class_split_68.wav.npy
68.wav,./audio/mixed/68.wav,./audio/target/e3-finger-120_split_21.wav,./audio/noise/orchestra_tuning_split_23.wav,1,./audio/mixed_specs/68.wav.npy,./audio/target_specs/e3-finger-120_split_21.wav.npy,./audio/noise_specs/orchestra_tuning_split_23.wav.npy
69.wav,./audio/mixed/69.wav,./audio/target/d2-finger-120_split_17.wav,./audio/noise/loreta_organ_split_14.wav,2,./audio/mixed_specs/69.wav.npy,./audio/target_specs/d2-finger-120_split_17.wav.npy,./audio/noise_specs/loreta_organ_split_14.wav.npy
70.wav,./audio/mixed/70.wav,./audio/target/d3-strum-tune_split_14.wav,./audio/noise/1-137-A-32_split_1.wav,1,./audio/mixed_specs/70.wav.npy,./audio/target_specs/d3-strum-tune_split_14.wav.npy,./audio/noise_specs/1-137-A-32_split_1.wav.npy
71.wav,./audio/mixed/71.wav,./audio/target/b2-strum-120_1_split_11.wav,./audio/noise/s_intro2_split_3.wav,3,./audio/mixed_specs/71.wav.npy,./audio/target_specs/b2-strum-120_1_split_11.wav.npy,./audio/noise_specs/s_intro2_split_3.wav.npy
72.wav,./audio/mixed/72.wav,./audio/target/a1-strum-100_1_split_24.wav,./audio/noise/1-21896-A-35_split_1.wav,4,./audio/mixed_specs/72.wav.npy,./audio/target_specs/a1-strum-100_1_split_24.wav.npy,./audio/noise_specs/1-21896-A-35_split_1.wav.npy
73.wav,./audio/mixed/73.wav,./audio/target/a2-strum2-tune_split_10.wav,./audio/noise/2-104952-A-16_split_1.wav,1,./audio/mixed_specs/73.wav.npy,./audio/target_specs/a2-strum2-tune_split_10.wav.npy,./audio/noise_specs/2-104952-A-16_split_1.wav.npy
74.wav,./audio/mixed/74.wav,./audio/target/e1-strum-120_split_1.wav,./audio/noise/electric_solo_split_39.wav,0,./audio/mixed_specs/74.wav.npy,./audio/target_specs/e1-strum-120_split_1.wav.npy,./audio/noise_specs/electric_solo_split_39.wav.npy
